Length,EffectiveLength,TPM,NumReads,Weight
"2769","2569.991","5.544246","463.000000","9998"
"1278","1078.991","1.090193","38.223301","9998"
"403","204.011","9.599837","63.639115","9989"
"1820","1620.991","0.000000","0.000000","-17"
"1972","1772.991","22.675127","1306.360885","9974"
"1743","1543.991","9.108871","457.000000","-30"
"2747","2547.991","15.991278","1324.000000","10000"
"3881","3681.991","3.649263","436.611160","9998"
"2336","2136.991","0.100806","7.000000","10000"
"3220","3020.991","15.057335","1478.102257","9998"
"1729","1529.991","51.981219","2584.295817","9998"
"1623","1423.991","80.064392","3704.704183","9998"
"1454","1254.991","37.199585","1517.000000","9955"
"1344","1144.991","14.415953","536.354958","9961"
"3487","3287.991","3.493810","373.281862","9988"
"2043","1843.991","1.401889","84.000000","10000"
"3515","3315.991","6.813700","734.181265","9998"
"3729","3529.991","19.232023","2206.000000","9818"
"750","550.999","8.433715","151.000000","10000"
"7774","7574.991","10.691556","2631.661420","9986"
"814","614.998","4.604472","92.015449","9995"
"4183","3983.991","21.005932","2719.363403","-28"
"3544","3344.991","4.008059","435.648300","9995"
"6636","6436.991","38.494957","8051.813345","9998"
"8852","8652.991","7.539849","2120.000000","10000"
"2689","2489.991","50.809249","4111.000000","9995"
"3154","2954.991","0.121034","11.621746","-45"
"1085","885.991","20.553027","591.714106","-38"
"2643","2443.991","39.412847","3130.000000","9998"
"5235","5035.991","4.426348","724.331578","9984"
"4722","4522.991","14.166026","2082.000000","10000"
"2163","1963.991","3.603972","230.000000","9991"
"4138","3938.991","2.387444","305.580161","9995"
"4022","3822.991","0.000000","0.000000","-7"
"1669","1469.991","3.860878","184.419839","9995"
"2440","2240.991","40.978097","2984.000000","10000"
"2133","1933.991","24.767948","1556.508117","9965"
"2179","1979.991","57.958246","3728.939678","9972"
"2757","2557.991","0.000000","0.000000","-49"
"2198","1998.991","14.148088","919.000000","-22"
"1837","1637.991","1.277587","68.000000","10000"
"1632","1432.991","32.492908","1513.000000","9998"
"365","166.013","116.045023","626.000000","-11"
"1073","873.991","17.463914","495.969939","9982"
"2458","2258.991","5.285795","388.000000","10000"
"2740","2540.991","0.584688","48.276303","9987"
"5690","5490.991","0.945199","168.647961","9981"
"3040","2840.991","7.474331","690.000000","9984"
"5633","5433.991","17.431820","3078.000000","-8"
"1462","1262.991","12.938603","531.000000","10000"
"584","385.005","31.733462","397.000000","9986"
"554","355.005","21.585274","249.000000","9993"
"437","238.009","36.591929","283.000000","10000"
"1476","1276.991","52.468907","2177.191982","9986"
"1383","1183.991","53.700095","2066.000000","10000"
"2639","2439.991","16.529245","1310.533655","9978"
"2382","2182.991","34.899707","2475.600953","9993"
"686","487.001","0.688850","10.900878","9995"
"760","560.999","69.201812","1261.498169","9995"
"4845","4645.991","3.583524","540.997956","9976"
"8670","8470.991","3.571185","983.000000","10000"
"7936","7736.991","1.648774","414.515036","9998"
"1834","1634.991","15.725931","835.484964","9998"
"4897","4697.991","18.715055","2857.000000","9907"
"1917","1717.991","10.568765","590.000000","9995"
"594","395.004","0.077910","1.000000","10000"
"693","494.001","5.312238","85.273100","9918"
"2578","2378.991","171.973660","13294.183122","9874"
"1642","1442.991","295.636095","13862.066032","9897"
"2255","2055.991","32.058466","2141.760261","-2"
"1495","1295.991","235.370720","9912.000000","10000"
"3665","3465.991","156.978083","17679.639051","9988"
"2626","2426.991","2.353076","185.571393","9998"
"943","743.998","34.225649","827.428607","9998"
"3459","3259.991","2.388346","253.000000","10000"
"3182","2982.991","0.000000","0.000000","-5"
"4628","4428.991","0.709006","102.037999","9998"
"2548","2348.991","29.202618","2229.000000","-45"
"773","573.999","77.862037","1452.257459","9988"
"996","796.998","41.708781","1080.169098","9984"
"925","725.998","153.048670","3610.539151","9991"
"3703","3503.991","3.645411","415.065295","-11"
"1547","1347.991","4.037431","176.847503","9992"
"2929","2714.991","4.723413","416.707392","9985"
"1780","1580.991","7.338462","377.000000","9993"
"1371","1171.991","88.648481","3376.000000","10000"
"1674","1474.991","0.000000","0.000000","0"
"1002","802.991","496.202369","12947.213664","9989"
"418","219.010","814.012248","5792.974581","9986"
"344","145.014","2867.347511","13511.260278","9988"
"775","575.998","6.251116","117.000000","9998"
"2776","2576.991","1.663496","139.296948","9995"
"1636","1436.991","12.506964","584.000000","10000"
"553","354.005","27.818472","320.000000","9993"
"2485","2285.991","0.565416","42.000000","9998"
"2456","2256.991","7.663013","562.000000","9998"
"2707","2507.991","5.257775","428.484281","9975"
"7551","7351.991","3.126751","746.973573","9976"
"1566","1366.991","39.734905","1765.000000","10000"
"565","366.005","11.584975","137.781029","9995"
"2539","2339.991","3.990733","303.440635","9995"
"1057","857.991","1.434731","40.000000","10000"
